Name of the bridge,Earthquake,x1 = Material Type,x2 = Age (yr),x3 = Bridge Type,x4 = Earthquake Magnitude,x5 = Distance to epicenter (miles),y1 = Damaged or not?,y2 = Damage Level,,,,,,
"Sendai-Ohashi Bridge, 1965",Eastern Honshu,I,33,I,5.1,22.9,0,I,,,,,,
"Sendai-Ohashi Bridge, 1965",East Coast of Honshu,I,10,I,5.1,25.8,0,I,,,,,,
"Sendai-Ohashi Bridge, 1965",East Coast of Honshu,I,35,I,5.3,28.7,0,I,,,,,,
"Sendai-Ohashi Bridge, 1965",Eastern Honshu,I,36,I,3.9,24.8,0,I,,,,,,
"Sendai-Ohashi Bridge, 1965",East Coast of Honshu,I,28,I,5.8,31.1,0,I,,,,,,
"Sendai-Ohashi Bridge, 1965",East Coast of Honshu,I,12,I,5.5,38.3,0,I,,,,,,
"Tennoh Bridge, 1959","1978, Miyagi",I,19,I,7.7,45.2,1,II,,,,,,
"Tennoh Bridge, 1959",East Coast of Honshu,I,18,I,5.5,11,0,I,,,,,,
"Tennoh Bridge, 1959",East Coast of Honshu,I,15,I,4.4,10.5,0,I,,,,,,
"Tennoh Bridge, 1959",East Coast of Honshu,I,3,I,6.1,17.6,0,I,,,,,,
"Tennoh Bridge, 1959",East Coast of Honshu,I,15,I,4.5,20,0,I,,,,,,
"Tennoh Bridge, 1959",East Coast of Honshu,I,14,I,4.5,13,0,I,,,,,,
"Tennoh Bridge, 1959",East Coast of Honshu,I,17,I,6,58.6,0,I,,,,,,
"Tennoh Bridge, 1959",East Coast of Honshu,I,16,I,5.1,39,0,I,,,,,,
"Tennoh Bridge, 1959",Eastern Honshu,I,15,I,4.3,33.3,0,I,,,,,,
"Tennoh Bridge, 1959",Eastern Honshu,I,15,I,5.3,60.3,0,I,,,,,,
"Tennoh Bridge, 1959",East Coast of Honshu,I,4,I,6.5,62.3,0,I,,,,,,
"Tennoh Bridge, 1959",East Coast of Honshu,I,16,I,5,36.2,0,I,,,,,,
"Tennoh Bridge, 1959",East Coast of Honshu,I,17,I,4.8,40.3,0,I,,,,,,
"Tennoh Bridge, 1959",East Coast of Honshu,I,9,I,6.3,46.5,0,I,,,,,,
"Tennoh Bridge, 1959",East Coast of Honshu,I,13,I,5.7,46.5,0,I,,,,,,
"Tennoh Bridge, 1959",East Coast of Honshu,I,15,I,4.7,41.2,0,I,,,,,,
"Sendai-Tobu Interchange, 1994","2011, Tohoku",I,17,I,9.1,75.9,1,II,,,,,,
"Sendai-Tobu Interchange, 1994",East Coast of Honshu,I,10,I,4.6,4.9,0,I,,,,,,
"Sendai-Tobu Interchange, 1994",Eastern Honshu,I,9,I,6.1,10.5,0,I,,,,,,
"Sendai-Tobu Interchange, 1994",East Coast of Honshu,I,9,I,5.5,11.7,0,I,,,,,,
"Sendai-Tobu Interchange, 1994",East Coast of Honshu,I,13,I,4.2,12.8,0,I,,,,,,
"Sendai-Tobu Interchange, 1994",East Coast of Honshu,I,9,I,5.3,15.2,0,I,,,,,,
"Sendai-Tobu Interchange, 1994",East Coast of Honshu,I,9,I,5.1,17.5,0,I,,,,,,
"Sendai-Tobu Interchange, 1994",East Coast of Honshu,I,8,I,4.5,26.8,0,I,,,,,,
"Sendai-Tobu Interchange, 1994",Eastern Honshu,I,12,I,4.4,19.2,0,I,,,,,,
"Sendai-Tobu Interchange, 1994",Eastern Honshu,I,4,I,5.1,25.8,0,I,,,,,,
"Sendai-Tobu Interchange, 1994",Eastern Honshu,I,11,I,5.1,39.2,0,I,,,,,,
"Sendai-Tobu Interchange, 1994",East Coast of Honshu,I,16,I,6.5,49.2,0,I,,,,,,
"Sendai-Tobu Interchange, 1994",East Coast of Honshu,I,17,I,7.3,102,0,I,,,,,,
"Sendai-Tobu Interchange, 1994",East Coast of Honshu,I,9,I,7,94.9,0,I,,,,,,
"Sendai-Tobu Interchange, 1994",East Coast of Honshu,I,14,I,7,83.7,0,I,,,,,,
"Abukuma Bridge (Route 6), 1920","1978, Miyagi",I,58,I,7.7,63.3,1,II,,,,,,
"Abukuma Bridge (Route 6), 1920",Eastern Honshu,I,54,I,4.3,2.5,0,I,,,,,,
"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,I,55,I,5.1,20.9,0,I,,,,,,
"Abukuma Bridge (Route 6), 1920",Eastern Honshu,I,36,I,5.9,14.1,0,I,,,,,,
"Abukuma Bridge (Route 6), 1920",Eastern Honshu,I,54,I,5.3,26.4,0,I,,,,,,
"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,I,22,I,6.5,58.6,0,I,,,,,,
"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,I,7,I,7,80.1,0,I,,,,,,
"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,I,18,I,7.7,92,0,I,,,,,,
"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,I,16,I,7.2,76.9,0,I,,,,,,
"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,I,38,I,6.1,76.6,0,I,,,,,,
"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,I,33,I,6.2,84,0,I,,,,,,
"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,I,50,I,6.4,90.6,0,I,,,,,,
"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,I,17,I,6.6,56.3,0,I,,,,,,
"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,I,53,I,4.5,26.6,0,I,,,,,,
"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,I,54,I,4.4,45.7,0,I,,,,,,
